Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),10 Chinese_Traditional (중국어-번체),11 Chinese_Simplified (중국어-간체)
None,0,None,없음,None,None,None,None,None,なし,沒有,没有
Cancel,1,Cancel,취소,,,,,,いいえ,,
Close,2,Close,닫기,,,,,,閉じる,,
Okay,3,Okay,확인,,,,,,はい,,
Remove,4,Remove,삭제,,,,,,,,
Detach_Title,5,Detach,등록된 객체 제거,,,,,,デタッチ,,
Detach_Body,6,Do you want to detach it?,선택한 객체를 제거할까요?,,,,,,それを外したいですか？,,
Detach_Ok,7,Detach,제거,,,,,,デタッチ,,
ThumbCreateFailed_Title,8,Thumbnail creation failed,썸네일 생성 실패,,,,,,,,
ThumbCreateFailed_Body_NoFile,9,The file name is empty.,파일 이름이 비어있습니다.,,,,,,,,
GIFFailed_Title,10,GIF file creation failed.,GIF 파일 생성 실패,,,,,,,,
GIFFailed_Body_Reject,11,Request is rejected.,요청이 거부되었습니다.,,,,,,,,
PSDBakeError_Title_WrongDst,12,Bake Destination Path Error,베이킹 위치 에러,,,,,,,,
PSDBakeError_Body_WrongDst,13,The Baking destination path must be in the Assets folder.,베이킹 파일 저장 위치는 Assets 폴더에 포함되어야 합니다.,,,,,,,,
PSDBakeError_Title_Load,14,PSD File load failed,PSD파일 로드 실패,,,,,,,,
PSDBakeError_Body_LoadPath,15,There are no files in [ {0} ].,해당 경로 [ {0} ]에 PSD 파일이 없습니다.,,,,,,,,
PSDBakeError_Body_LoadSize,16,The image size is too large. [ {0} x {1} ] (Maximum 5000 x 5000),이미지 크기가 너무 큽니다. [ {0} x {1} ] (Maximum 5000 x 5000),,,,,,,,
PSDBakeError_Body_ErrorCode,17,An error has occurred. [ {0} ],에러가 발생했습니다. [ {0} ],,,,,,,,
AddTextureFailed_Title,18,Failed to add image,이미지 추가 실패,,,,,,,,
AddTextureFailed_Body,19,An error has occurred and the image can not be added. Please try again.,에러가 발생하여 이미지를 추가할 수 없습니다. 다시 시도해주세요.,,,,,,,,
MeshCreationFailed_Title,20,Mesh creation failed,메시 생성 실패,,,,,,,,
MeshCreationFailed_Body,21,Mesh can not be generated due to an error. Please try again.,에러가 발생하여 메시를 생성할 수 없습니다. 다시 시도하세요.,,,,,,,,
MeshAddFailed_Title,22,Fail to add Mesh,메시 추가 실패,,,,,,,,
MeshAddFailed_Body,23,Mesh can not be added due to an error. Try again.,에러가 발생하여 메시를 추가할 수 없습니다. 다시 시도하세요.,,,,,,,,
AnimCreateFailed_Title,24,Fail to add Animation Clip,애니메이션 클립 추가 실패,,,,,,,,
AnimCreateFailed_Body,25,Animation Clip can not be added due to an error. Try again.,에러가 발생하여 애니메이션 클립을 추가할 수 없습니다. 다시 시도하세요.,,,,,,,,
AnimDuplicatedFailed_Title,26,Failed to copy Animation Clip,애니메이션 클립 복사 실패,,,,,,,,
AnimDuplicatedFailed_Body,27,An error occurred and the Animation Clip can not be copied.,에러가 발생하여 애니메이션 클립을 복사할 수 없습니다.,,,,,,,,
AnimTimelineAddFailed_Title,28,Failed to Add Timeline,타임라인 추가 실패,,,,,,,,
